Title;Source;Year
Intellectual property rights requirements for heterogeneously-licensed systems;Ieee;2009
Intelligent supervision and tracing system for food quality under the internet of things;Scopus;2012
Intention-oriented modelling support for gore in elastic cloud applications;Ieee;2013
Intention-oriented modelling support for socio-technical driven elastic cloud applications;Ieee;2012
Intention-oriented programming support for runtime adaptive autonomic cloud-based applications;Sciencedirect;2013
Intentional models based on measurement theory;Scopus;2011
Interaction-driven self-adaptation of service ensembles;Scopus;2010
Interactive grid architecture for application service providers;Scopus;2003
Interprovider ip-mpls services: requirements, implementations, and challenges;Scopus;2005
Inventing requirements from software: an empirical investigation with web services;Ieee;2008
Investigating an 'agile-rigid' approach in globally distributed requirements analysis;Web of science;2007
Istar 2010 - proceedings of the 4th international i* workshop;Scopus;2010
Keeping track of crosscutting requirements in uml models via context-based constraints;Scopus;2006
Knowledge management in electronic government: 4th ifip international working conference, kmgov 2003 rhodes, greece, may 26-28, 2003 proceedings;Scopus;2003
Knowledge-oriented approach to requirements engineering in ambient-assisted living domain;Web of science;2013
Laser-induced breakdown spectroscopy expands into industrial applications;Sciencedirect;2014
Laying the groundwork for assisted rehabilitation;Scopus;2010
Lean+ manufacturing process analysis simulation (lpas+);Acmdl;2011
Learning operational requirements from goal models;Acmdl;2009
Lessons learnt from the development of the patient safety incidents reporting an learning system for the spanish national health system: sinasp;Sciencedirect;2014
Leveraging conceptual models of trust in automated systems to promote `appropriate trust' in autonomic systems;Ieee;2007
Live goals for adaptive service compositions;Scopus;2010
Log filtering and interpretation for root cause analysis;Ieee;2010
Loods: a new learning-based object-oriented system development environment;Ieee;1997
Low complexity crosstalk cancellation through line selection in upstream vdsl;Ieee;2003
Making automatic passenger counts mainstream accuracy, balancing algorithms, and data structures;Engineering village;2005
Making sense of requirements, sooner;Ieee;2006
Managing approach plate information study (maplist): an information requirements analysis for approach chart use;Engineering village;1994
Managing carbon footprint of buildings with ecview;Ieee;2010
Managing evolving requirements in an outsourcing context: an industrial experience report;Scopus;2004
Managing information security complexity;Scopus;2006
Managing legal texts in requirements engineering;Web of science;2009
Managing multiple requirements perspectives with metamodels;Ieee;1996
Managing requirements inconsistency with development goal monitors;Web of science;1999
Managing requirements or being managed by requirements - results of an empirical study;Engineering village;2007
Mapping semantically enriched formal tropos to business process models;Scopus;2009
Mapreduce-based warehouse systems: a survey;Ieee;2014
Market-aware requirements;Scopus;2012
Materials and structures for the european future launcher preparatory programme;Engineering village;2006
Measurement of energy expenditure in elite athletes using mems-based triaxial accelerometers;Ieee;2007
Measuring compound concentrations using the agi universal sampler, a time-integrated, passive gas and liquid sampler;Engineering village;2013
Mediaprinting: identifying multimedia content for digital rights management;Ieee;2010
Meeting business objectives through adaptive information and communications technology;Scopus;2006
Memory requirements of java bytecode verification on limited devices;Scopus;2005
Metabolic algorithm for software requirement engineering;Engineering village;2011
Methodology and tools for the design and verification of a smart management system for home comfort;Ieee;2008
Metodología para la gerencia de los procesos del negocio sustenda en el uso de patrones;Web of science;2006
Microbolometer instrument payload design for a microsatellite mission;Ieee;2005
Mid sweden university: a survey of wireless sensor networks for home healthcare monitoring application;Scopus;2013
Middleware-based distributed systems software process;Acmdl;2009
Missing white house e-mail: a whistleblowing case study;Engineering village;2002
Mission control for the 48-satellite globalstar constellation;Ieee;1995
Mitigating the obsolescence of quality specifications models in service-based systems;Ieee;2012
Mobile application supported lifestyle intervention to lower prostate cancer risk;Engineering village;2012
Mobile usability testing requirements and their implementation in the automation engineering industry;Acmdl;2014
Model driven provisioning in multi-tenant clouds;Ieee;2012
Model transformation of dependability-focused requirements models;Ieee;2009
Model-based management of strategic initiatives;Springer;2014
Model-based platform-specific co-design methodology for dynamically partially reconfigurable systems with hardware virtualization and preemption;Scopus;2010
Model-based runtime verification of web service interface contracts;Ieee;2009
Model-driven business process integration and management: a case study with the bank sinopac regional service platform;Scopus;2004
Modeling mental states in the analysis of multiagent systems requirements;Acmdl;2006
Modeling security requirements through ownership, permission and delegation;Ieee;2005
Modelling adaptability and variability in requirements;Ieee;2011
Modelling and analysing contextual failures for dependability requirements;Acmdl;2014
Modelling health care processes for eliciting user requirements: a way to link a quality paradigm and clinical information system design;Engineering village;2001
Modelling qos for wireless sensor networks;Engineering village;2007
Modelling qos for wireless sensor networks wireless sensor and actor networks;Web of science;2007
Mofban: a lightweight modular framework for body area networks;Scopus;2007
Monitoring and control in requirements analysis;Scopus;2005
Monitoring and control in scenario-based requirements analysis;Ieee;2005
Monitoring and diagnosing malicious attacks with autonomic software;Web of science;2009
Monitoring and diagnosing software requirements;Web of science;2009
Monitoring fuzzy temporal requirements for service compositions: motivations, challenges and experimental results;Ieee;2011
Monitoring group behavior in goal-directed agents using co-efficient plan observation;Web of science;2007
Monitoring requirements coverage using reconstructed views: an industrial case study;Engineering village;2006
Monitoring requirements evolution using views;Ieee;2007
Monitoring service systems from a language-action perspective;Ieee;2011
Monitoring strategic goals in data warehouses with awareness requirements;Scopus;2012
Monitoring system-of-systems requirements in multi product lines;Scopus;2013
Monitoring value webs;Web of science;2012
Monitoring web service requirements;Ieee;2003
Monitoring with behavior view diagrams for debugging;Ieee;2005
Moving from cultural probes to agent-oriented requirements engineering;Acmdl;2006
Mulit-level system integration based on autosar;Acmdl;2008
Multi-level system integration based on autosar;Web of science;2008
Multidisciplinary approach to prevent spinal cord ischemia after thoracic endovascular aneurysm repair for distal descending aorta;Sciencedirect;2010
Multiparadigm modeling in embedded systems design;Engineering village;2004
Multiple instances and symbolic variables in executable sequence charts;Acmdl;2002
Natural language processing and information systems - 14th international conference on applications of natural language to information systems, nldb 2009, revised papers;Scopus;2009
Non-functional requirements for distributable user interfaces in agile processes;Acmdl;2014
Notice of violation of ieee publication principles<br>the explore of the law role in software requirements engineering;Ieee;2009
Now more than ever: privacy and security are required (keynote);Ieee;2014
Object-oriented graceful evolution monitors;Web of science;2003
Object-oriented model of network performance monitoring system;Scopus;2001
Object-oriented software development method. a practical approach to object-oriented development;Engineering village;1991
On adopting multi-criteria decision-making approaches for variability management in software product lines;Acmdl;2012
On extending ws-policy with specification of xml web service semantics, monitoring, and control driven by business value;Scopus;2007
On lightweight mobile phone application certification;Acmdl;2009
On requirements representation and reasoning using answer set programming;Ieee;2014
On software requirement metrics based on six-sigma;Scopus;2009
On technology convergence and platforms: requirements challenges from new technologies and system architectures;Web of science;2009
On the autonomy requirements for space missions;Ieee;2013
On the development of condition based maintenance strategy for offshore wind farm: requirement elicitation process;Sciencedirect;2012
On the impact of uml analysis models on source-code comprehensibility and modifiability;Acmdl;2014
On the move to business-driven alignment of service monitoring requirements;Web of science;2011
On the move to meaningful internet systems: otm 2012 workshops - confederated international workshops: otm academy, industry case studies program, ei2n, inbast, meta4es, ontocontent, orm, sedes, sincom, and somoco 2012, proceedings;Scopus;2012
On the role of requirements in understanding and managing technical debt;Ieee;2012
On usability in requirements trace visualizations;Ieee;2008
On-chip multimedia real-time os and its mpeg-2 applications;Ieee;1999
One approach to the metric baselining imperative for requirements processes;Ieee;2003
Ontological goal modelling for proactive assistive living in smart environments;Scopus;2013
Ontological support for managing non-functional requirements in pervasive healthcare;Ieee;2009
Open source patient-controlled analgesic pump requirements documentation;Acmdl;2013
Operational semantics of goal models in adaptive agents;Scopus;2009
Optimal collector type and temperature in a solar organic rankine cycle system for building-scale power generation in hot and humid climate;Engineering village;2013
Optimizing monitoring requirements in self-adaptive systems;Web of science;2012
Optimizing system requirements with evolutionary computation;Ieee;2002
Osami-d: an open service platform for healthcare monitoring applications;Ieee;2009
Path-based error propagation analysis in composition of software services;Scopus;2007
Patterns and traceability in teaching software architecture;Acmdl;2008
Pc-re: a method for personal and contextual requirements engineering with some experience;Web of science;2006
Pedestrian navigation systems: a case study of deep personalization;Ieee;2007
Performance analysis of hierarchically structured multiple bus multiprocessor system;Ieee;1990
Performance and availability analysis of a simple local airport position domain monitor for waas;Engineering village;2005
Performance impact analysis with kpp using application response measurement in e-government systems;Scopus;2009
Performance models to predict the productivity of projects: a practical application;Scopus;2009
Personal and contextual requirements engineering;Ieee;2005
Pervasive computing: third international conference, pervasive 2005, proceedings;Scopus;2005
Pervasive service composition in the home network;Engineering village;2007
Physical configuration on-line visualization of xilinx virtex-ii fpgas;Engineering village;2007
Policy-based autonomic storage allocation;Web of science;2003
Policy-based dynamic reconfiguration of mobile-code applications;Scopus;2004
Policy-driven middleware for self-adaptation of web services compositions;Scopus;2006
Policy-driven model for autonomic management of web services using mas;Engineering village;2006
Popular misconceptions;Engineering village;2008
Position paper: approach for architectural design and modelling with documented design decisions (admd3);Acmdl;2012
Post-qualification of old radioactive waste - concrete suggestions for implementation;Engineering village;2005
Power efficient ultra wide band based wireless body area networks with narrowband feedback path;Ieee;2014
Preemption threshold scheduling: stack optimality, enhancements and analysis;Engineering village;2007
Preliminary design and development of industrial inspection e-monitoring system;Scopus;2010
Preliminary requirements for a fluoride salt-cooled high-temperature test reactor (fhtr);Engineering village;2012
Prevention of neointimal hyperplasia associated with modified stretch expanded polytetrafluoroethylene hemodialysis grafts (gore) in an experimental preclinical study in swine;Sciencedirect;2012
Privacy and security requirements framework for the internet of things (iot);Acmdl;2014
Privacy arguments: analysing selective disclosure requirements for mobile applications;Ieee;2012
Problem frames analysis over sysml model for critical goods transportation monitoring system;Scopus;2012
Procedure model for the analysis and design of reporting systems- a case study in conceptual modelling;Scopus;2006
Proceedings - 17th ieee international enterprise distributed object computing conference, edoc 2013;Scopus;2013
Proceedings - 2012 8th international conference on the quality of information and communications technology, quatic 2012;Scopus;2012
Proceedings - ieee 5th international conference on cloud computing technology and science, cloudcom 2013;Scopus;2013
Proceedings - international conference on global software engineering, icgse 2007;Scopus;2007
Proceedings - sbac-pad 2006 18th international symposium on computer architecture and high performance computing;Engineering village;2006
Proceedings 2006 australian software engineering conference;Scopus;2006
Proceedings 2010 ieee international conference on software engineering and service sciences, icsess 2010;Scopus;2010
Proceedings of 9th ieee conference on artificial intelligence for applications;Ieee;1993
Proceedings of the 10th iasted international conference on software engineering and applications, sea 2006;Scopus;2006
Proceedings of the 10th workshop on requirements engineering, wer 2007;Scopus;2007
Proceedings of the 15th international conference on software engineering;Scopus;1993
Proceedings of the 1998 20th international conference on software engineering;Scopus;1998
Proceedings of the 1998 international conference on software engineering;Scopus;1998
Proceedings of the 2009 icse workshop on aspect-oriented requirements engineering and architecture design, ea 2009;Scopus;2009
Proceedings of the 2011 2nd international workshop on requirements@run. time, re@runtime 2011;Scopus;2011
Proceedings of the 30th annual ieee/nasa software engineering workshop, sew-30;Scopus;2006
Proceedings of the 3rd international workshop on monitoring, adaptation and beyond;Acmdl;2010
Proceedings of the 7th workshop on models@run.time, mrt 2012 - being part of the acm/ieee 15th international conference on model driven engineering languages and systems, models 2012;Scopus;2012
Proceedings of the 9th conference on artificial intelligence for applications;Scopus;1993
Proceedings of the acm sigada annual international conference, sigada 2005: the engineering of correct and reliable software for real-time and distributed systems using ada and related technologies;Engineering village;2005
Proceedings of the forum at the caise 2009 conference;Scopus;2009
Proceedings of the third international workshop on software and performance wosp2002;Engineering village;2002
Process metrics for requirements analysis;Web of science;2000
Process model for e-business standards development: a case of ebxml standards;Engineering village;2009
Process monitoring using bond graph approach;Scopus;2005
Process warehouses in practice: a goal-driven method for business process analysis;Web of science;2012
Process-centered software engineering environments: academic and industrial perspectives;Acmdl;2001
Product-focused software process improvement - 14th international conference, profes 2013, proceedings;Scopus;2013
Project quality of off-shore virtual teams engaged in software requirements analysis: an exploratory comparative study;Scopus;2008
Proteomics by mass spectrometry—go big or go home?;Sciencedirect;2011
Providing quality of service monitoring: challenges and approaches;Scopus;2000
Putting business into business process models;Scopus;2008
Qos-aware middleware for ubiquitous and heterogeneous environments;Scopus;2001
Quality of interactive models;Scopus;2003
Quantifying spatial and temporal variability of macroinvertebrate metrics;Sciencedirect;2012
Rational quality requirements for medical software;Acmdl;2008
Rationalism with a dose of empiricism: case-based reasoning for requirements-driven self-adaptation;Ieee;2014
Real-time 3d transesophageal echocardiography;Engineering village;2004
Reasoning about adaptive requirements for self-adaptive systems at runtime;Ieee;2011
Reasoning about agents and protocols via goals and commitments;Acmdl;2010
Reasoning on non-functional requirements for integrated services;Ieee;2009
Reconciling system requirements and runtime behavior;Ieee;1998
Reconciling the system requirements process in changing business environments;Scopus;2004
Reducing the risks of high pressure pumping;Engineering village;2005
Refining goal models by evaluating system behaviour;Web of science;2008
Relax: a language to address uncertainty in self-adaptive systems requirement;Web of science;2010
Relax: incorporating uncertainty into the specification of self-adaptive systems;Ieee;2009
Relaxing claims: coping with uncertainty while evaluating assumptions at run time;Scopus;2012
Remote control and monitoring of an underground robotic drilling equipment for landfill remediation;Scopus;2005
Request: requirements-driven quality estimator;Acmdl;2005
Requirement analysis and metric development for public participatory gis;Scopus;2014
Requirement analysis in agile software development of distributed systems;Scopus;2011
Requirement analysis of ubiquitous intelligence system for personal diet formulation and maintenance;Scopus;2011
Requirement change management process models: activities, artifacts and roles;Scopus;2006
Requirement error abstraction and classification: an empirical study;Scopus;2006
Requirement specifications for an enterprise level collaborative, data collection, quality management and manufacturing tool for an ems provider;Engineering village;2002
Requirements analysis and a design of computational environment for hse (human-sensibility ergonomics) simulator;Web of science, Scopus;2005, 2004
Requirements analysis for a traceability system for management wood supply chain on amazon forest;Ieee;2010
Requirements analysis for run-time service compositions;Ieee;2011
Requirements analysis from multiple perspectives: experiences with conceptual modeling technology;Ieee;1996
Requirements analysis of real-time systems by rational-rose uml;Ieee;2009
Requirements and architectures for adaptive systems;Scopus;2013
Requirements capture with rcat;Ieee;2008
Requirements change management process models: an evaluation;Scopus;2007
Requirements documentation: why a formal basis is essential;Ieee;2000
Requirements elicitation in a telemedicine pain-treatment trial;Ieee;2009
Requirements engineering and management: the key to designing quality complex systems;Engineering village;2000
Requirements engineering approach for real-time and embedded systems: a case study of android-based smart phone devices;Acmdl;2014
Requirements engineering based on business process models: a case study;Scopus;2009
Requirements engineering for adaptive service based applications;Ieee;2010
Requirements engineering for home care technology;Acmdl;2008
Requirements engineering for product families;Acmdl;2000
Requirements engineering for self-adaptive systems: core ontology and problem statement;Scopus;2011
Requirements engineering for software in emerging markets;Scopus;2008
Requirements engineering in the year 00: a research perspective;Acmdl;2000
Requirements engineering process for software-as-a-service (saas) cloud environment;Ieee;2014
Requirements evolution and what (research) to do about it;Web of science;2009
Requirements evolution: from assumptions to reality;Web of science;2011
Requirements interaction management;Acmdl;2003
Requirements modeling for organization networks: a (dis)trust-based approach;Ieee;2001
Requirements models at run-time to support consistent system evolutions;Ieee;2011
Requirements models for design- and runtime a position paper;Web of science;2013
Requirements models for design- and runtime: a position paper;Ieee;2013
Requirements monitoring for adaptive service-based applications;Scopus;2012
Requirements monitoring in distributed environments;Scopus;1995
Requirements monitoring in dynamic environments;Ieee;1995
Requirements of quality of service in wireless sensor network;Engineering village;2006
Requirements reflection: requirements as runtime entities;Ieee;2010
Requirements specification for health monitoring systems capable of resolving flight control system faults;Engineering village;2001
Requirements tracing to support change in dynamically adaptive systems;Scopus;2009
Requirements uncertainty: influencing factors and concrete improvements;Ieee;2005
Requirements validation testing on the 7 optical fiber array connector/cable assemblies for the lunar reconnaissance orbiter (lro);Engineering village;2007
Requirements-aware systems: a research agenda for re for self-adaptive systems;Ieee;2010
Requirements-based dynamic metrics in object-oriented systems;Ieee;2001
Requirements-driven adaptation: compliance, context, uncertainty, and systems;Ieee;2011
Requirements-driven adaptive digital forensics;Ieee;2013
Requirements-driven adaptive security: protecting variable assets at runtime;Ieee;2012
Requirements-driven design and configuration management of business processes;Web of science;2007
Requirements-driven design of autonomic application software;Scopus;2006
Requirements-driven qualitative adaptation;Scopus;2012
Requirements-driven self-optimization of composite services using feedback control;Ieee;2015
Requirements-driven social adaptation: expert survey;Scopus;2014
Requirements-driven software evolution;Scopus;2013
Research directions in requirements engineering;Acmdl;2007
Research of gis based comprehensive monitoring technology for wind farms;Scopus;2010
Research of performance test technology for big data applications;Ieee;2014
Research on intelligent monitoring system of fangcheng port's bulk cargo ship unloader;Engineering village;2013
Research on monitoring quality of 3g streaming media service;Scopus;2010
Research on teaching evaluation system modeling based on uml;Scopus;2014
Residual requirements and architectural residues;Ieee;2001
Residual test coverage monitoring;Scopus;1999
Rgps: a unified requirements meta-modeling frame for networked software;Acmdl;2008
Risk-based confidentiality requirements specification for outsourced it systems;Ieee;2010
Risk-based requirements analysis: a holistic approach to aerospace system condition monitoring;Engineering village;1993
Robotics and artificial intelligence: a perspective on deliberation functions;Web of science;2014
Round tripping in component based software development;Scopus;2010
Rule-based context-aware adaptation using a goal-oriented ontology;Acmdl;2011
Run-time model evaluation for requirements model-driven self-adaptation;Ieee;2012
Run-time monitoring of requirements for systems composed of web-services: initial implementation and evaluation experience;Engineering village;2005
Run-time monitoring of system performance: a goal-oriented and system architecture simulation approach;Ieee;2010
Run-time resolution of uncertainty;Ieee;2011
Runtime adaptability through automated model evolution;Scopus;2010
Runtime goal models: keynote;Ieee;2013
Runtime models for automatic reorganization of multi-robot systems;Scopus;2011
Runtime monitoring of cross-cutting policy;Ieee;2009
Runtime service discovery and reconfiguration using owl-s based semantic web service;Scopus;2007
Runtime verification and monitoring of embedded systems;Scopus;2007
Rup-based process model for security requirements engineering in value-added service development;Scopus;2009
Rôle of domain engineering in software development—why current requirements engineering is flawed !;Acmdl;2009
Sat based enforcement of domotic effects in smart environments;Springer;2014
Satisficing-based approach to resolve feature interactions in control systems;Engineering village;2013
Satisfying user needs at the right time and in the right mice: a research preview;Web of science;2011
Satisfying user needs at the right time and in the right place: a research preview;Scopus;2011
Sbpm 2007 - proceedings of the workshop on semantic business process and product lifecycle management, held in conjunction with the 3rd european semantic web conference, eswc 2007;Scopus;2007
Scenario-based specification of automotive requirements with quantitative constraints and synthesis of sl/sf monitors;Ieee;2011
Scenario-driven development of context-aware adaptive web services;Scopus;2012
Scheduling and memory requirements analysis with aadl;Acmdl;2005
Secure and dependable patterns in organizations: an empirical approach;Ieee;2007
Secure service orchestration;Scopus;2007
Secure workflow development from early requirements analysis;Ieee;2008
Securitas: a tool for engineering adaptive security;Scopus;2012
Security requirement of end point security software;Scopus;2013
Security requirements analysis, specification, prioritization and policy development in cyber-physical systems;Ieee;2011
Security threats and security policy in wireless sensor networks;Scopus;2012
Selective code/data migration for reducing communication energy in embedded mpsoc architectures;Engineering village;2006
Self-adaptation through incremental generative model transformations at runtime;Acmdl;2014
Self-adaptive systems requirements modelling: four related approaches comparison;Scopus;2013
Self-explanation in adaptive systems based on runtime goal-based models;Scopus;2014
Self-repair through reconfiguration: a requirements engineering approach;Ieee;2009
Self-tuning of software systems through dynamic quality tradeoff and value-based feedback control loop;Sciencedirect;2012
Self-tuning of software systems through goal-based feedback loop control;Ieee;2010
Semantic models for knowledge management;Ieee;2001
Semantic requirements analysis for the integrated earth observation sensor web for the digital earth;Ieee;2014
Semantic vs. syntactic compositions in aspect-oriented requirements engineering: an empirical study;Acmdl;2009
Semi-supervised support vector machines for data classification with uncertainty;Engineering village;2005
Semiautomatic security requirements engineering and evolution using decision documentation, heuristics, and user monitoring;Ieee;2014
Separation of scattered concerns: a graph based approach for aspect mining;Acmdl;2011
Service level agreement parameter matching in cloud computing;Scopus;2011
Service level agreements: web services and security;Scopus;2007
Service level agreements: web services and security web engineering, proceedings;Web of science;2007
Service-centric systems and requirements engineering;Ieee;2008
Service-driven migrating of enterprise information systems: a case study;Ieee;2012
Servicing your requirements;Ieee;2006
Setting and evaluation of flexible points on software user interface;Scopus;2007
Sigada 2010 - proceedings of the 2010 acm international conference on ada and related technologies;Scopus;2010
Signal processing for estimating energy expenditure of elite athletes using triaxial accelerometers;Ieee;2005
Simoo-rt - an object-oriented framework for the development of real-time industrial automation systems;Engineering village;2002
Simoo-rt-an object-oriented framework for the development of real-time industrial automation systems;Ieee;2002
Situ: a situation-theoretic approach to context-aware service evolution;Ieee;2009
Smart distribution of bio-signal processing tasks in m-health;Scopus;2007
Smart work workbench, integrated tool for it services planning, management, execution and evaluation;Web of science;2011
Social media in the context of academic marketing: case study: evaluation of the umwelt-campus campaign;Scopus;2012
Social sensing: when users become monitors;Scopus;2011
Social software product lines;Ieee;2011
Social threats and the new challenges for requirements engineering;Ieee;2011
Socially-augmented software: empowering software operation through social contacts;Ieee;2013
Sofsem 2014: theory and practice of computer science - 40th international conference on current trends in theory and practice of computer science, proceedings;Scopus;2014
Softgoal-based plan selection in model-driven bdi agents;Acmdl;2014
Software architecture for the ecu of automated manual transmission;Ieee;2010
Software evaluation via users' feedback at runtime;Scopus;2014
Software product line engineering for developing self-adaptive systems: towards the domain requirements;Ieee;2012
Software requirements change taxonomy: evaluation by case study;Ieee;2011
Software requirements engineering methodology (srem) at the age of two;Ieee;1978
Software reuse measure: monitoring an enterprise-level model driven development process;Engineering village;1999
Software self-reconfiguration: a bdi-based approach;Scopus;2009
Software tool construction for deployment of jmx services in distributed testbeds;Engineering village;2006
Space-based afscn augmentation system;Scopus;1991
Specifications for trueness and precision of a reference measurement system for serum/plasma 25-hydroxyvitamin d analysis;Sciencedirect;2009
Specifying and monitoring interactions and commitments in open business processes;Ieee;2009
Specifying monitoring and switching problems in context;Ieee;2007
Specifying requirements for real-time systems;Scopus;2009
State-based model checking of event-driven system requirements;Web of science;1993
Stateful requirements monitoring for self-repairing socio-technical systems;Ieee;2012
Strategies for handling the activity problem in runtime software evolution by reducing activity;Engineering village;2004
Strategy scorecards;Engineering village;1998
Stream: a strategy for transition between requirements models and architectural models;Acmdl;2011
Structural rehabilitation of the heart lake tunnel;Engineering village;2005
Study of goal-oriented migrating workflow system based on mobile computing paradigm;Web of science;2011
Study on china digital ocean prototype system;Ieee;2009
Studying system analysis for knowledge reasoning component-based;Engineering village;2013
Support for intention driven cloud government entitlement services;Ieee;2013
Support vector machines for quality monitoring in a plastic injection molding process;Ieee;2005
Support vector machines for quality, monitoring in a plastic injection molding process;Web of science;2005
Supporting and monitoring the creativity of is personnel during the requirements engineering process;Ieee;2000
Supporting decision-making for self-adaptive systems: from goal models to dynamic decision networks;Scopus;2013
Supporting event based traceability through high-level recognition of change events;Scopus;2002
Supporting model-driven requirements management in the embedded systems domain;Ieee;2013
Supporting objects in run-time bytecode specialization;Scopus;2002
Supporting requirements change management in goal oriented analysis;Ieee;2008
Switch or struggle: risk assessment for late integration of cots components;Acmdl;2007
Synthesis of live behaviour models;Acmdl;2010
Synthesis of observers for autonomic evolutionary systems from requirements models;Scopus;2013
Sysml-based requirement modeling environment for multicore embedded system;Acmdl;2010
System identification for adaptive software systems: a requirements engineering perspective;Acmdl;2011
System of systems capability to requirements engineering;Ieee;2014
System requirements for an advanced cockpit to reduce workload and stress;Scopus;2014
Systematic development of umlsec design models based on security requirements;Web of science;2011
Table of contents;Ieee;2013
Taking care of elderly people with chronic conditions using ambient assisted living technology: the advent perspective;Scopus;2014
Taking goal models downstream: a systematic roadmap;Ieee;2014
Tarmac delay surveillance and mitigation system: requirements analysis for nextgen;Ieee;2010
Telemonitoring of patients with parkinson's disease using inertia sensors;Scopus;2014
Testing highly complex system of systems: an industrial case study;Acmdl;2012
The actor's view of automated planning and acting: a position paper;Web of science;2014
The actor_s view of automated planning and acting: a position paper;Sciencedirect;2014
The application of b-bpline neurofuzzy networks for condition monitoring of metal cutting tool;Scopus;2006
The application of compile-time reflection to software fault tolerance using ada 95;Acmdl;2005
The aspire approach to continuous software process improvement;Ieee;1992
The business process knowledge framework;Scopus;2007
The business requirements and technical fabric for the smart city;Ieee;2014
The capture calculus toolset;Acmdl;2011
The design and implementation of land-based target system for korean destroyer combat systems;Acmdl;2008
The design of smart homes for people with dementia - user-interface aspects;Scopus;2005
The design of the european ground systems - common core (egs-cc);Engineering village;2014
The development, implementation and future of the ags data formats for the transfer of geotechnical and geoenvironmental data by electronic means;Engineering village;2006
The e-mobility case study;Scopus;2015
The eclipse 3.0 platform: adopting osgi technology;Scopus;2005
The explore of the law role in software requirements engineering;Web of science;2009
The integrated specification and analysis of functional, temporal, and resource requirements;Ieee;1997
The integration of virtual instruments into pipeline lpg network monitoring system;Scopus;2001
The interface of visto, a new vector image search tool;Scopus;2007
The mais approach to web service design;Scopus;2005
The management of neonatal posterolateral diaphragmatic hernia;Sciencedirect;1982
The many faces of operationalization in goal-oriented requirements engineering;Acmdl;2014
The multi-processor scheduling problem in phylogenetics;Scopus;2012
The observer-based technique for requirements validation in embedded real-time systems;Ieee;2014
The process of inconsistency management: a framework for understanding;Ieee;1999
The requirements problem for adaptive systems;Scopus, Acmdl;2015, 2014
The research of software requirements analysis of core needs;Scopus;2012
The role of deferred requirements in a longitudinal study of emailing;Ieee;2005
The role of deferred requirements in a longitudinal study of entailing;Scopus;2005
The role of roles in supporting reconfigurability and fault localizations for open distributed and embedded systems;Scopus;2007
The role of the software practitioner in the development of public safety software-intensive systems;Acmdl;2007
The safety requirements engineering dilemma;Acmdl;1998
The significance of endoleaks in thoracic endovascular aneurysm repair;Sciencedirect;2011
The software engineering of adaptive human-computer interfaces;Ieee;1989
The think aloud method: a guide to user interface design;Engineering village;2004
The user modeling shell system bgp-ms;Springer;1994
The weighted decision matrix: tracking design decisions in service compositions;Ieee;2014
To connect or not to connect: experiences from modeling topological variability;Acmdl;2014
Tool support for combined rule-based and goal-based reasoning in context-aware systems;Ieee;2012
Tool support for inspecting the code quality of hpc applications;Acmdl;2007
Tool support for semantic task modeling;Acmdl;2013
Toward a text classification system for the quality assessment of software requirements written in natural language;Acmdl;2007
Toward improvement-oriented reuse of experience in engineering design processes;Web of science;2005
Toward inconsistency awareness in collaborative software development;Ieee;2011
Towards a continuous requirements engineering framework for self-adaptive systems;Ieee;2010
Towards a framework for describing cloud service characteristics for use by chief information officers;Ieee;2011
Towards a goal-driven approach to action selection in self-adaptive software;Web of science;2012
Towards a requirements-driven framework for detecting malicious behavior against software systems;Acmdl;2011
Towards a unified framework for contextual variability in requirements;Ieee;2009
Towards a universal access code of practice in health telematics;Scopus;2005
Towards adaptive systems through requirements@runtime?;Scopus;2011
Towards an integrated approach for aspectual requirements;Ieee;2006
Towards automatically configurable multimedia applications;Scopus;2001
Towards autonomic management of communications networks;Scopus;2007
Towards development of web applications based on user interface services - a requirement analysis;Scopus;2009
Towards dynamic evolution of self-adaptive systems based on dynamic updating of control loops;Ieee;2012
Towards evolution of strategic it requirements;Acmdl;2007
Towards feature-oriented requirements validation for automotive systems;Ieee;2014
Towards goal-driven self optimisation of service based applications;Web of science;2008
Towards monitoring cloud services using models@run.time;Scopus;2014
Towards requirements engineering in a service-oriented environment--extending the soa interaction triangle;Ieee;2008
Towards requirements-driven autonomic systems design;Acmdl;2005
Towards reusable colored petri nets;Ieee;1998
Towards seamless adaptation: an agent-oriented approach;Ieee;2008
Towards security monitoring patterns;Scopus;2007
Towards self-managed systems aware of economic value;Scopus, Ieee;2011, 2010
Towards smart user interface design;Scopus;2012
Towards support for ad-hoc multimedia bindings;Scopus;2001
"Towards the identification of ""guilty"" performance antipatterns";Acmdl;2010
Towards variability design as decision boundary placement;Scopus;2007
Traceability-enabled refactoring for managing just-in-time requirements;Ieee;2014
Tracing cross-cutting requirements via context-based constraints;Scopus;2005
Trade-off between performance and energy consumption in wireless sensor networks;Web of science;2007
Transaction management for m-commerce at a mobile terminal;Sciencedirect;2006
Transarctic acoustic propagation experiment and climate monitoring in the arctic;Engineering village;1999
Transitioning to the community: bridging gaps in patient care;Engineering village;2007
Transml: a family of languages to model model transformations;Acmdl;2010
Trustworthy path discovery in manet -- a message oriented cross-correlation approach;Ieee;2011
Twelfth acm sigsoft international symposium on the foundations of software engineering, sigsoft 2004/fse-12;Scopus;2004
Ultrasonography in follow-up of soft tissue augmentation of the face with synthetic materials: a pilot study;Engineering village;2004
